,Video_number,Density_burst,Density_throttling,Quality
0,1,15430822.2,834446.9850746269,2160
1,2,15258322.5,873414.4545454546,2160
2,3,10281443.333333334,1348282.0512820513,2160
3,4,11312924.875,1768926.6642857143,2160
4,5,5439688.5,740712.9381443299,2160
5,6,9222627.0,1570663.9210526317,2160
6,7,13628963.42857143,1909876.802955665,2160
7,8,7834751.0,790624.5023696682,2160
8,9,10761957.666666666,1412740.4663865545,2160
9,10,7207303.25,1283866.3109243698,2160
10,11,12990394.666666666,1635814.3016528925,2160
11,12,12768480.8,1604311.6635220125,2160
12,13,13712325.166666666,1612648.452631579,2160
13,14,13323772.833333334,2121252.0293501047,2160
14,15,2279799.879464286,870.8421052631579,2160
15,16,7910631.111111111,1342417.36875,2160
16,17,9184916.0,1791776.877016129,2160
17,18,7276386.777777778,1511871.24750499,2160
18,19,9047016.833333334,2301584.7214700193,2160
19,20,12598497.5,1961697.8647166362,2160
20,21,11311168.5,1683205.0159574468,2160
21,22,12815375.142857144,1646338.1306532663,2160
22,23,9518399.0,1137016.0888157894,2160
23,24,12793860.8,1508738.9281345566,2160
24,25,11861099.0,1319564.0706455542,2160
25,1,4389235.846153846,52963.046875,1440
26,2,8776270.333333334,27020.076923076922,1440
27,3,11178759.0,148126.3924050633,1440
28,4,9404042.57142857,435493.3216783217,1440
29,5,5044634.2,135629.8677248677,1440
30,6,6600529.5,466399.708994709,1440
31,7,13707819.333333334,744139.5392156863,1440
32,8,6834640.2,180221.02369668247,1440
33,9,12131041.4,461299.19246861927,1440
34,10,7436035.0,334986.1193415638,1440
35,11,11554142.8,534227.4320987654,1440
36,12,10536440.2,536190.4702194358,1440
37,13,11422417.8,599620.463312369,1440
38,14,10318575.333333334,848246.1530398323,1440
39,15,5205283.181818182,654799.275210084,1440
40,16,6415197.428571428,456624.36174636177,1440
41,17,8935986.0,785351.014084507,1440
42,18,10058268.2,573915.6904761905,1440
43,19,3347521.206896552,939842.276,1440
44,20,13526136.833333334,844206.0694698355,1440
45,21,13585087.2,614358.6424778762,1440
46,22,9325822.8,563931.5876460768,1440
47,23,10005542.8,404740.1990131579,1440
48,24,9551603.0,580092.5221374045,1440
49,25,7863112.8,482451.4732360097,1440
50,1,4629529.2,1622.8676470588234,1080
51,2,3824887.4,10973.01282051282,1080
52,3,5579391.4,1273.6125,1080
