,Video_number,Density_burst,Density_throttling,Quality
53,4,6771195.166666667,18680.333333333332,1080
54,5,2827728.8,54106.52849740932,1080
55,6,7613140.0,83992.08465608465,1080
56,7,9005788.8,146015.65853658537,1080
57,8,5374750.5,55670.99056603773,1080
58,9,7403327.0,137288.3029045643,1080
59,10,5054871.166666667,88595.19665271966,1080
60,11,7833122.6,132933.1652892562,1080
61,12,7107695.2,151720.703125,1080
62,13,7661045.75,207464.99159663866,1080
63,14,6689272.333333333,263523.9479166667,1080
64,15,5638336.714285715,207659.3661087866,1080
65,16,5185789.333333333,176312.25933609958,1080
66,17,8123006.0,247214.79678068412,1080
67,18,7853055.2,203463.0811881188,1080
68,19,2696556.0555555555,268413.5088062622,1080
69,20,11341472.5,244013.31204379562,1080
70,21,7378542.5,173991.00884955752,1080
71,22,6933639.2,159878.87813021702,1080
72,23,3799037.4,117034.50574712643,1080
73,24,5784439.75,173675.37442922374,1080
74,25,6724520.75,191674.09245742092,1080
75,1,2545400.8,1421.3661971830986,720
76,2,2373999.25,23217.73076923077,720
77,3,4027081.0,3663.7901234567903,720
78,4,4611469.0,1618.3758865248226,720
79,5,2811433.75,20993.786458333332,720
80,6,5206802.0,52349.47368421053,720
81,7,4932878.8,84831.68292682926,720
82,8,3860728.0,25494.948598130843,720
83,9,4620553.0,74246.6804979253,720
84,10,2967455.6666666665,46990.51867219917,720
85,11,5297385.0,71326.82716049382,720
86,12,4415921.4,90585.05,720
87,13,4634568.0,112246.88469601677,720
88,14,3800704.6666666665,155392.8179916318,720
89,15,4400993.6,119080.30082987552,720
90,16,3043528.4285714286,100929.11203319502,720
91,17,5785543.5,141547.61770623742,720
92,18,4231364.2,110710.47326732673,720
93,19,5347540.6,167289.43238095238,720
94,20,5628830.5,150166.5711678832,720
95,21,4667049.25,101493.1592920354,720
96,22,4050460.2,89063.02166666667,720
97,23,3257542.0,67199.35032894737,720
98,24,4525509.5,96046.31554878049,720
99,25,5244779.0,105662.07420924574,720
100,1,1806642.0,1185.5882352941176,480
101,2,1185017.4,2972.5324675324673,480
102,3,1622196.6,883.9638554216867,480
103,4,2477944.6,1511.7394366197184,480
104,5,1988265.75,9730.867724867725,480
105,6,3427267.6666666665,19425.98952879581,480
106,7,3171746.75,42784.76699029126,480
107,8,2433430.3333333335,25948.272300469485,480
108,9,3067135.0,32345.233333333334,480
109,10,2360611.2,21856.958847736627,480
110,11,3796998.25,28985.95061728395,480
111,12,2780915.75,53030.5987460815,480
112,13,3437180.0,63118.06105263158,480
113,14,2802629.8,76497.64644351465,480
114,15,2492480.4,61084.51458333333,480
115,16,2862127.0,62925.451546391756,480
116,17,3087412.75,72957.89738430583,480
117,18,3216224.75,63454.597633136094,480
118,19,2302780.6666666665,84443.62404580152,480
119,20,4582148.0,78019.44890510949,480
120,21,2709801.25,56224.60777385159,480
121,22,2619679.25,56665.134775374376,480
122,23,1815870.25,42557.70888157895,480
123,24,2458724.3333333335,58684.49467275495,480
124,25,2673296.75,59775.97566909976,480
125,1,890759.0,1218.072463768116,360
126,2,954733.75,1759.948051948052,360
127,3,1032443.0,1506.79012345679,360
128,4,1468668.6,4332.551724137931,360
129,5,1238214.5,12341.020725388602,360
130,6,1870115.5,10511.390625,360
131,7,1854804.2,20104.111650485436,360
132,8,1788013.5,8894.384976525822,360
133,9,1714285.0,25789.170124481327,360
134,10,1450185.4,17325.374517374516,360
135,11,2088607.25,24021.418032786885,360
136,12,1903451.8,28675.455974842767,360
137,13,2291117.25,41035.2285115304,360
138,14,2177142.0,45802.723849372385,360
139,15,2690790.0,40616.254166666666,360
140,16,1254290.1666666667,42322.490683229815,360
141,17,2023774.25,46492.26305220884,360
142,18,2054989.25,41922.640316205536,360
143,19,2095109.4,49622.81297709924,360
144,20,2114182.5,48506.10786106033,360
145,21,1722118.5,35824.95575221239,360
146,22,1422481.0,38243.71786310517,360
147,23,1003603.6,29286.888157894737,360
148,24,1990373.3333333333,37422.36432926829,360
149,25,1643207.25,47552.990255785626,360
