,Video_number,Density_burst,Density_throttling,Quality
0,1,10581978.57142857,778436.9848484849,2160
1,2,14553254.0,818585.7307692308,2160
2,3,14465293.2,1205208.175,2160
3,4,10983138.666666666,1508179.3475177304,2160
4,5,5832414.6,718760.3717277487,2160
5,6,8722681.4,1485116.4869109949,2160
6,7,8897259.25,1726632.406862745,2160
7,8,6186599.75,530561.2574626865,2160
8,9,12216608.6,1327151.4256198348,2160
9,10,3541744.2916666665,1166251.3839285714,2160
10,11,5032270.235294118,1440360.2652173913,2160
11,12,3837671.470588235,1424683.8562091503,2160
12,13,17654013.25,1567446.144654088,2160
13,14,6358138.666666667,1898817.4887063655,2160
14,15,11099070.4,1725823.4625,2160
15,16,10376912.833333334,1250896.6358024692,2160
16,17,13056432.75,1691766.144,2160
17,18,10908459.8,1460852.8418972332,2160
18,19,10068636.5,1936805.9146110057,2160
19,20,18732332.5,1826301.0945454545,2160
20,21,13753526.8,1557723.5193661973,2160
21,22,13450591.0,1618167.0915141432,2160
22,23,9156463.8,1067830.6836065573,2160
23,24,12011739.0,1442586.4393939395,2160
24,25,12461342.0,1186339.0760869565,2160
25,1,7919732.666666667,110452.5223880597,1440
26,2,15564006.333333334,27390.0,1440
27,3,9475006.42857143,122758.49367088608,1440
28,4,11768974.8,371440.323943662,1440
29,5,3809073.3333333335,128558.70984455959,1440
30,6,10435958.666666666,463411.0104166667,1440
31,7,10951553.0,639531.286407767,1440
32,8,7095593.75,157798.1374407583,1440
33,9,11491040.0,436354.57261410786,1440
34,10,6475997.5,308710.652892562,1440
35,11,12060667.75,523603.0489795918,1440
36,12,6267697.0,475095.5534591195,1440
37,13,10808213.2,581628.2773109244,1440
38,14,11166806.4,779298.0985324947,1440
39,15,3301100.111111111,588851.3949044585,1440
40,16,5969480.857142857,427232.21516393445,1440
41,17,8814833.8,665601.366,1440
42,18,8222443.6,512546.5157480315,1440
43,19,12616406.833333334,815105.6095238095,1440
44,20,11259660.0,772487.4972677595,1440
45,21,12717699.8,585528.1201413427,1440
46,22,8229896.0,532854.4205298013,1440
47,23,7540337.666666667,370305.9292763158,1440
48,24,9858794.25,563726.5432473444,1440
49,25,7186984.8,425890.87819732033,1440
50,1,5194077.5,2497.492537313433,1080
51,2,6033874.0,3008.397435897436,1080
52,3,6434219.25,1258.5555555555557,1080
53,4,9033000.0,5132.138888888889,1080
54,5,11966268.0,52866.4702970297,1080
55,6,6476673.0,74059.5052631579,1080
56,7,6274639.0,115302.2,1080
57,8,3652638.0,62625.06511627907,1080
58,9,6675816.0,108573.75720164609,1080
59,10,4883452.0,51147.04878048781,1080
60,11,7271964.4,118603.16326530612,1080
61,12,3750396.0,137008.0,1080
62,13,5005083.8,145053.4592901879,1080
63,14,7387661.4,234862.90167364015,1080
64,15,4670966.875,196039.2661122661,1080
65,16,6017106.4,165147.37218813907,1080
66,17,4242477.222222222,218480.94567404425,1080
67,18,8587694.5,181424.14566929135,1080
68,19,6999656.333333333,241125.63825757575,1080
69,20,7219121.333333333,231150.36413043478,1080
70,21,5575609.6,167006.57597173145,1080
71,22,5990610.0,139644.38016528924,1080
72,23,4148921.25,106606.57166123779,1080
73,24,5458810.25,162449.75340393343,1080
74,25,4237965.2,175448.45388349515,1080
75,1,3968812.3333333335,1613.3676470588234,720
76,2,3466274.0,1866.6103896103896,720
77,3,3677756.25,1171.9756097560976,720
78,4,4141557.25,1974.6028368794325,720
79,5,3783875.3333333335,14941.412060301507,720
80,6,4473474.75,31392.592783505155,720
81,7,4176353.3333333335,70995.79710144928,720
82,8,2658395.8,31161.600938967134,720
83,9,3523648.6,70363.12809917355,720
84,10,2166754.4,28970.405737704918,720
85,11,5363099.25,257642.79098360657,720
86,12,3451372.5,82729.021875,720
87,13,4585030.25,80870.27926078028,720
88,14,11069017.0,133348.58246346554,720
89,15,1969047.8181818181,109438.00612244898,720
90,16,3252100.2,102275.04907975461,720
91,17,5469942.0,126896.14371257485,720
92,18,4136848.6,104688.04142011834,720
93,19,6263129.0,140404.0754716981,720
94,20,4851499.2,181416.81555153706,720
95,21,4877860.666666667,100813.7530647986,720
96,22,4333647.5,87412.34271523179,720
97,23,2576024.0,65192.034369885434,720
98,24,4281064.0,89452.58662613982,720
99,25,3678573.0,107618.51269649334,720
100,1,2139626.6666666665,1048.7941176470588,480
101,2,1894931.6666666667,1412.5454545454545,480
102,3,2482623.0,1250.9382716049383,480
103,4,2970998.6666666665,4375.307692307692,480
104,5,1674157.25,14180.735751295337,480
105,6,2824211.0,23823.469387755104,480
106,7,2213014.0,43220.21538461538,480
107,8,1397402.0,22029.907488986784,480
108,9,2922280.25,29923.516393442624,480
109,10,1778285.8,16418.252066115703,480
110,11,2923725.6,26856.549180327867,480
111,12,2581792.75,50623.30030959752,480
112,13,2889340.25,51433.38284518829,480
113,14,2735701.8,67961.61169102296,480
114,15,2402707.6,56767.8198757764,480
115,16,2197844.2,58568.776639344265,480
116,17,2145144.2,70891.2015968064,480
117,18,2188338.6,63675.25590551181,480
118,19,2626150.6,75423.43263757115,480
119,20,2623568.2,102896.86980108499,480
120,21,2359254.5,54425.763668430336,480
121,22,2019237.2,53491.42620232172,480
122,23,1290481.8,40498.0,480
123,24,2102130.25,52886.16236722306,480
124,25,2507861.0,56340.15133171913,480
125,1,1318803.3333333333,1061.0882352941176,360
126,2,1219964.6666666667,1976.4303797468353,360
127,3,1574768.6666666667,1218.567901234568,360
128,4,1504698.75,2254.655172413793,360
129,5,1194623.5,12044.380208333334,360
130,6,1061669.2,14572.364583333334,360
131,7,1715187.8,26718.490476190476,360
132,8,1460728.75,11898.495283018869,360
133,9,1313417.4,24220.95867768595,360
134,10,1075968.8,15547.92748091603,360
135,11,1867271.5,26109.51020408163,360
136,12,2141570.25,32452.736024844722,360
137,13,1443720.6,34036.47071129707,360
138,14,2076180.75,44389.43006263048,360
139,15,1873100.75,38498.36288659794,360
140,16,1444743.4,39926.0636550308,360
141,17,1554996.0,44241.01996007984,360
142,18,2079355.5,38740.96850393701,360
143,19,1988255.2,45129.920454545456,360
144,20,2051503.25,45453.14673913043,360
145,21,2051503.25,45453.14673913043,360
146,22,1284383.0,36622.60761589404,360
147,23,1070836.75,28688.163666121112,360
148,24,1415124.25,35070.1062215478,360
149,25,3435130.4,40519.890410958906,360
