,Video_number,Density_burst,Density_throttling,Quality
65,16,10026429.0,166305.78881987577,1080
66,17,5452735.428571428,219676.2418699187,1080
67,18,11659475.0,184809.51329243355,1080
68,19,10496657.5,242523.74137931035,1080
69,20,132.0,308680.09618874773,1080
70,21,9826432.666666666,163099.33274021352,1080
71,22,9980039.333333334,140201.97157190635,1080
72,23,8257588.5,106499.13322368421,1080
73,24,9254793.333333334,153533.03211009174,1080
74,25,8352897.333333333,171341.3509202454,1080
75,1,11899548.0,2.869565217391304,720
76,2,10323730.0,2.933333333333333,720
77,3,7353546.0,5.866666666666666,720
78,4,8273887.0,6.6,720
79,5,11338098.0,14331.203125,720
80,6,17812543.0,31097.84656084656,720
81,7,8344909.666666667,72735.35078534031,720
82,8,3592171.75,25528.139175257733,720
83,9,8715994.0,73654.20704845815,720
84,10,4201805.333333333,20822.983333333334,720
85,11,8113056.0,249433.01265822785,720
86,12,6762251.333333333,81744.81012658228,720
87,13,9159867.5,81494.8949579832,720
88,14,22136423.0,131993.2259414226,720
89,15,2404829.6666666665,112410.76955602536,720
90,16,8092565.5,102340.70247933884,720
91,17,10765042.0,127029.39034205231,720
92,18,6844040.333333333,104194.63888888889,720
93,19,8294629.666666667,141080.72275334608,720
94,20,12018924.5,137296.0310786106,720
95,21,4448375.5,95468.53108348134,720
96,22,9554201.0,83601.60299003322,720
97,23,5806532.0,62887.67495854063,720
98,24,8560941.0,88906.40916030534,720
99,25,1061779.2142857143,107856.0625,720
100,1,6411024.0,2.933333333333333,480
101,2,5576503.0,2.933333333333333,480
102,3,7444860.0,5.739130434782608,480
103,4,4627552.5,3.3,480
104,5,3275626.0,12723.873626373626,480
105,6,4458922.5,25580.443708609273,480
106,7,6631206.5,42461.756476683935,480
107,8,3372510.0,22465.96682464455,480
108,9,5802426.5,29281.35684647303,480
109,10,4435030.5,15530.0,480
110,11,4870285.0,25871.460580912862,480
111,12,5581584.0,46583.33644859813,480
112,13,4069712.0,47848.21684210526,480
113,14,3585624.0,65399.646315789476,480
114,15,3973291.6666666665,56797.48312236287,480
115,16,5492046.5,58165.09090909091,480
116,17,3862830.0,68702.8366935484,480
117,18,5453924.0,63222.919191919194,480
118,19,4349875.0,75593.64092664093,480
119,20,6486363.5,73496.2901459854,480
120,21,3279328.6666666665,52792.18439716312,480
121,22,5036081.0,52518.67441860465,480
122,23,2317869.0,38976.57920792079,480
123,24,4163946.5,52099.58625954198,480
124,25,4999258.5,55626.12895377129,480
125,1,3945923.0,5.866666666666666,360
126,2,3655865.0,2.933333333333333,360
127,3,4714524.0,5.739130434782608,360
128,4,3005547.0,852.2517985611511,360
129,5,2381118.0,10934.840425531915,360
130,6,2651054.0,14632.164772727272,360
131,7,4281130.5,27819.703125,360
132,8,3201569.5,7648.392344497608,360
133,9,3281339.5,23463.83613445378,360
134,10,3114566.0,12112.373443983402,360
135,11,2689942.3333333335,21832.716049382718,360
136,12,3021961.6666666665,26363.271293375394,360
137,13,3607176.0,35185.10089686099,360
138,14,4149992.0,44312.75541125541,360
139,15,3744245.0,37451.86610878661,360
140,16,3522287.0,39098.942028985504,360
141,17,2590722.6666666665,43759.303822937625,360
142,18,4154288.0,39148.44827586207,360
143,19,3309216.3333333335,44510.61950286807,360
144,20,4101687.0,44658.617915904935,360
145,21,2209688.6666666665,33043.67317939609,360
146,22,2285067.3333333335,34880.49003322259,360
147,23,1595180.3333333333,26786.450495049507,360
148,24,2364399.6666666665,32322.470948012233,360
149,25,3187846.5,135575.1970624235,360
