,Video_number,Density_burst,Density_throttling,Quality
0,1,25758728.333333332,1585146.3,2160
1,2,20934975.666666668,1511580.1794871795,2160
2,3,24736381.333333332,2061731.2666666666,2160
3,4,17716277.0,2028604.1683168316,2160
4,5,9715530.666666666,842624.2662337662,2160
5,6,21763364.5,1827577.3612903226,2160
6,7,17789854.75,2094850.767857143,2160
7,8,22528835.0,529345.7132075472,2160
8,9,21769150.666666668,1317822.8375,2160
9,10,3860775.3913043477,1192906.4325581396,2160
10,11,5626412.933333334,1669744.5408163266,2160
11,12,3342867.5172413792,1363895.4315068494,2160
12,13,24494151.333333332,1690658.15,2160
13,14,12707263.666666666,1840269.9096638656,2160
14,15,14109410.8,1854287.99543379,2160
15,16,20749174.333333332,1361573.6076233184,2160
16,17,18917505.666666668,1831183.0893246187,2160
17,18,14757157.5,1567211.405982906,2160
18,19,20510020.25,1966033.5135135136,2160
19,20,37416633.0,1959569.087890625,2160
20,21,13495259.2,1670118.4971644613,2160
21,22,22556985.333333332,1637531.8229342327,2160
22,23,22882952.5,1135178.2966841187,2160
23,24,27554606.0,1517775.0530546624,2160
24,25,24918728.0,1248245.3206106871,2160
25,1,13658359.0,2.933333333333333,1440
26,2,46682571.0,39511.729166666664,1440
27,3,22078572.0,165167.28070175438,1440
28,4,18859388.0,457462.0796460177,1440
29,5,5707550.75,145407.28484848485,1440
30,6,35564255.0,521153.4658385093,1440
31,7,21895729.666666668,724881.8563535912,1440
32,8,10769914.0,139562.20388349515,1440
33,9,28722357.0,529034.2525252525,1440
34,10,9702044.5,315100.87606837606,1440
35,11,28328284.5,545956.1935483871,1440
36,12,8767180.2,520975.3263888889,1440
37,13,14477586.75,590982.7521739131,1440
38,14,18601326.0,814840.6989010989,1440
39,15,3737728.1666666665,610144.1477272727,1440
40,16,8351726.2,434391.51565762004,1440
41,17,8811869.8,668699.8812877263,1440
42,18,13691888.0,542415.4321503132,1440
43,19,18876424.5,819749.8330134357,1440
44,20,14276884.0,806814.875,1440
45,21,31702873.5,611614.506469501,1440
46,22,14661147.0,557517.6865148862,1440
47,23,11305851.5,371025.0826446281,1440
48,24,14974631.0,580590.5818759936,1440
49,25,11972147.0,425393.7756097561,1440
50,1,20224749.0,2.933333333333333,1080
51,2,18024984.0,2.933333333333333,1080
52,3,12865137.5,5.739130434782608,1080
53,4,13728106.0,7.352112676056338,1080
54,5,13080382.0,49020.86315789474,1080
55,6,8206249.25,77100.87283236995,1080
56,7,12431704.333333334,117242.0294117647,1080
57,8,6594461.333333333,54088.67772511848,1080
58,9,132.0,260627.91228070174,1080
59,10,10103879.5,49456.778723404255,1080
60,11,11848394.333333334,122994.18884120171,1080
61,12,5342249.571428572,138323.37785016285,1080
62,13,6425822.5,144088.05696202532,1080
63,14,12306136.0,234504.3193277311,1080
64,15,6177519.5,196712.76939203354,1080
